rule,threshold,support,precision,recall,f1_score,tp,fp,fn,tn
Bypassing Safety Controls,0.4,0,0.0,0.0,0.0,0,0,0,138
Confined Space,0.4,2,0.3333333333333333,0.5,0.4,1,2,1,134
Driving,0.73,15,0.9285714285714286,0.8666666666666667,0.896551724137931,13,1,2,122
Energy Isolation,0.47,16,0.7058823529411765,0.75,0.7272727272727273,12,5,4,117
Hot Work,0.27,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,124
Line of Fire,0.39,5,0.0,0.0,0.0,0,2,5,131
Safe Mechanical Lifting,0.38,14,0.6190476190476191,0.9285714285714286,0.7428571428571429,13,8,1,116
Toxic Gas / Hazardous Substance,0.4,2,0.4,1.0,0.5714285714285714,2,3,0,133
Working at Height,0.51,9,0.3333333333333333,0.7777777777777778,0.4666666666666667,7,14,2,115
