rule,stage7_threshold,calibrated_threshold,support,precision,recall,f1_score,tp,fp,fn,tn
Bypassing Safety Controls,0.5,0.15,0,0.0,0.0,0.0,0,0,0,138
Confined Space,0.5,0.15,2,0.14285714285714285,0.5,0.2222222222222222,1,6,1,130
Driving,0.25,0.49,15,1.0,0.8,0.8888888888888888,12,0,3,123
Energy Isolation,0.3,0.63,16,0.8181818181818182,0.5625,0.6666666666666666,9,2,7,120
Hot Work,0.45,0.83,13,0.9166666666666666,0.8461538461538461,0.88,11,1,2,124
Line of Fire,0.2,0.17,5,0.25,0.2,0.2222222222222222,1,3,4,130
Safe Mechanical Lifting,0.2,0.35,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,9,4,5,120
Toxic Gas / Hazardous Substance,0.5,0.15,2,0.5,1.0,0.6666666666666666,2,2,0,134
Working at Height,0.25,0.69,9,0.75,0.6666666666666666,0.7058823529411765,6,2,3,127
