rule,threshold,support,precision,recall,f1_score
Bypassing Safety Controls,0.5,0,0.0,0.0,0.0
Confined Space,0.5,2,1.0,0.5,0.6666666666666666
Driving,0.39999999999999997,15,0.8125,0.8666666666666667,0.8387096774193549
Energy Isolation,0.7,16,0.7857142857142857,0.6875,0.7333333333333333
Hot Work,0.2,13,0.5238095238095238,0.8461538461538461,0.6470588235294118
Line of Fire,0.5499999999999999,5,0.14285714285714285,0.2,0.16666666666666666
Safe Mechanical Lifting,0.5999999999999999,14,0.5789473684210527,0.7857142857142857,0.6666666666666666
Toxic Gas / Hazardous Substance,0.5,2,0.6666666666666666,1.0,0.8
Working at Height,0.35,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
