record_id,stage41_provenance,stage42_action,final_provenance,stage41_lsr_labels,stage42_new_lsr_labels,final_lsr_labels,top_score,second_score,margin,evidence_labels,semantic_score,agreement_state,decision,reason
OILPS_OSHA_02319,MODEL_PREDICTED,PRESERVED_STAGE41_ASSIGNMENT,MODEL_PREDICTED,Hot Work,NONE,Hot Work,0.7462,0.0,1.0,Hot Work,1.0,STRONG_AGREEMENT,PRESERVED_STAGE41_ASSIGNMENT,Preserved Stage 41 confirmed assignment (MODEL_PREDICTED).
OILPS_OSHA_02320,MODEL_PREDICTED,PRESERVED_STAGE41_ASSIGNMENT,MODEL_PREDICTED,Hot Work | Safe Mechanical Lifting,NONE,Hot Work | Safe Mechanical Lifting,0.9443,0.0,1.0,Hot Work | Safe Mechanical Lifting,1.0,STRONG_AGREEMENT,PRESERVED_STAGE41_ASSIGNMENT,Preserved Stage 41 confirmed assignment (MODEL_PREDICTED).
OILPS_OSHA_02321,MODEL_PREDICTED,PRESERVED_STAGE41_ASSIGNMENT,MODEL_PREDICTED,Working at Height,NONE,Working at Height,0.9972,0.0,1.0,Working at Height,1.0,STRONG_AGREEMENT,PRESERVED_STAGE41_ASSIGNMENT,Preserved Stage 41 confirmed assignment (MODEL_PREDICTED).
OILPS_OSHA_02322,HUMAN_REVIEW,NEW_REVIEW_PENDING,HUMAN_REVIEW_PENDING,UNKNOWN,UNKNOWN,UNKNOWN,0.9737,0.8617,0.112,NONE,0.35,PARTIAL_AGREEMENT,SENT_TO_HUMAN_REVIEW_PENDING,"Moderate confidence or partial evidence agreement (TopScore=0.9737, Margin=0.1120)."
OILPS_OSHA_02323,HUMAN_REVIEW,NEW_REVIEW_PENDING,HUMAN_REVIEW_PENDING,UNKNOWN,UNKNOWN,UNKNOWN,0.9964,0.9695,0.0269,Working at Height,0.35,PARTIAL_AGREEMENT,SENT_TO_HUMAN_REVIEW_PENDING,"Moderate confidence or partial evidence agreement (TopScore=0.9964, Margin=0.0269)."
OILPS_OSHA_02324,UNKNOWN,REMAINED_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0513,0.0028,0.0485,NONE,0.55,NO_EVIDENCE,REJECTED_UNKNOWN,Insufficient multi-signal model/evidence support.
OILPS_OSHA_02325,HUMAN_REVIEW,NEW_REVIEW_PENDING,HUMAN_REVIEW_PENDING,UNKNOWN,UNKNOWN,UNKNOWN,0.9963,0.9623,0.034,NONE,0.35,PARTIAL_AGREEMENT,SENT_TO_HUMAN_REVIEW_PENDING,"Moderate confidence or partial evidence agreement (TopScore=0.9963, Margin=0.0340)."
OILPS_OSHA_02326,MODEL_PREDICTED,PRESERVED_STAGE41_ASSIGNMENT,MODEL_PREDICTED,Hot Work | Energy Isolation,NONE,Hot Work | Energy Isolation,0.8825,0.0,1.0,Hot Work | Energy Isolation,1.0,STRONG_AGREEMENT,PRESERVED_STAGE41_ASSIGNMENT,Preserved Stage 41 confirmed assignment (MODEL_PREDICTED).
OILPS_OSHA_02327,UNKNOWN,REMAINED_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0357,0.0031,0.0326,NONE,0.35,NO_EVIDENCE,REJECTED_UNKNOWN,Insufficient multi-signal model/evidence support.
OILPS_OSHA_02328,HUMAN_REVIEW,NEW_REVIEW_PENDING,HUMAN_REVIEW_PENDING,UNKNOWN,UNKNOWN,UNKNOWN,0.5734,0.0653,0.5081,NONE,0.35,PARTIAL_AGREEMENT,SENT_TO_HUMAN_REVIEW_PENDING,"Moderate confidence or partial evidence agreement (TopScore=0.5734, Margin=0.5081)."
