gold_incident_group,gold_date,gold_country,gold_function,gold_activity,top_canonical_id,top_score,second_score,score_margin,lexical_similarity,date_match,country_match,decision,rejection_reason,lsr_labels,source_document,source_page
GRP-Safety performa-P51,24 Mar 2025,,construction,,OILPS_IOGP_HPE_0054,0.5,0.25,0.25,0.0,True,False,AMBIGUOUS,Margin below 0.15 or low score,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P52,,,,,OILPS_IOGP_SPI_0208,0.0092,0.0088,0.0004,0.0613,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P53,24 Feb 2024,,drilling,,OILPS_IOGP_HPE_0059,0.1571,0.1558,0.0013,0.0472,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Energy Isolation""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P54,01 Jun 2025,,construction,,OILPS_IOGP_HPE_0057,0.5,0.15,0.35,0.0,True,False,AMBIGUOUS,Margin below 0.15 or low score,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P55,11 Jan 2025,,construction,,OILPS_IOGP_HPE_0058,0.4,0.15,0.25,0.0,True,False,REJECTED,Insufficient evidence,"[""Driving"", ""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P56,15 Jul 2025,,drilling,,OILPS_IOGP_HPE_0059,0.5,0.4,0.1,0.0,True,False,AMBIGUOUS,Margin below 0.15 or low score,"[""Line of Fire"", ""Working at Height"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P57,23 Aug 2024,,production,,OILPS_IOGP_HPE_0007,0.15,0.15,0.0,0.0,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P58,03 Sep 2025,,construction,,OILPS_IOGP_HPE_0061,0.4,0.15,0.25,0.0,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P59,30 Apr 2025,,construction,,OILPS_IOGP_HPE_0062,0.5554,0.25,0.3054,0.3692,True,False,AMBIGUOUS,Margin below 0.15 or low score,"[""Driving"", ""Line of Fire"", ""Energy Isolation""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P6,01 May 2025,,drilling,,OILPS_IOGP_HPE_0002,0.4,0.25,0.15,0.0,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
