gold_incident_group,gold_date,gold_country,gold_function,gold_activity,top_canonical_id,top_score,second_score,score_margin,lexical_similarity,date_match,country_match,decision,rejection_reason,lsr_labels,source_document,source_page
GRP-Safety performa-P80,02 Jul 2024,,production,,OILPS_IOGP_HPE_0042,0.1587,0.1573,0.0014,0.0578,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P81,27 Apr 2025,argentina,construction,,OILPS_IOGP_HPE_0086,0.6,0.35,0.25,0.0,True,True,AMBIGUOUS,Margin below 0.15 or low score,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P82,28 Nov 2024,,drilling,,OILPS_IOGP_HPE_0072,0.1666,0.1571,0.0095,0.1104,False,False,REJECTED,Insufficient evidence,"[""Driving"", ""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P83,16 Oct 2024,,drilling,,OILPS_IOGP_HPE_0065,0.25,0.15,0.1,0.0,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P84,26 Dec 2024,,drilling,,OILPS_IOGP_HPE_0001,0.15,0.15,0.0,0.0,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P85,19 Mar 2024,,drilling,,OILPS_IOGP_HPE_0001,0.15,0.15,0.0,0.0,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Work Authorization"", ""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P86,,,,,OILPS_IOGP_HPE_0034,0.0153,0.0139,0.0014,0.1021,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P87,18 Jan 2025,,drilling,,OILPS_IOGP_HPE_0093,0.4,0.25,0.15,0.0,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P88,,,,,OILPS_IOGP_HPE_0094,0.0396,0.0169,0.0227,0.2638,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Work Authorization"", ""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P89,27 Dec 2025,,,,OILPS_IOGP_HPE_0096,0.2738,0.0166,0.2572,0.1586,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Working at Height"", ""Work Authorization"", ""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P9,25 Mar 2025,,unspecified,,OILPS_IOGP_HPE_0005,0.4,0.25,0.15,0.0,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P90,16 Apr 2025,,production,,OILPS_IOGP_HPE_0097,0.4,0.4,0.0,0.0,True,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Energy Isolation""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P91,25 Sep 2024,,,,OILPS_IOGP_SPI_0208,0.0095,0.009,0.0005,0.0635,False,False,REJECTED,Insufficient evidence,"[""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P92,27 May 2024,azerbaijan,production,,OILPS_IOGP_HPE_0083,0.35,0.35,0.0,0.0,False,True,REJECTED,Insufficient evidence,"[""Work Authorization"", ""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P93,,,,,OILPS_IOGP_SPI_0208,0.0105,0.0089,0.0016,0.0702,False,False,REJECTED,Insufficient evidence,"[""Work Authorization"", ""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P94,26 May 2024,azerbaijan,production,,OILPS_IOGP_HPE_0083,0.3522,0.35,0.0022,0.015,False,True,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P95,09 Feb 2024,,,,OILPS_IOGP_HPE_0042,0.0134,0.0085,0.0049,0.0896,False,False,REJECTED,Insufficient evidence,"[""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P96,23 Dec 2024,azerbaijan,production,,OILPS_IOGP_HPE_0083,0.35,0.35,0.0,0.0,False,True,REJECTED,Insufficient evidence,"[""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P97,18 Nov 2024,azerbaijan,construction,,OILPS_IOGP_SPI_0162,0.2034,0.2026,0.0008,0.0225,False,True,REJECTED,Insufficient evidence,"[""Working at Height"", ""Work Authorization"", ""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P98,,,,,OILPS_IOGP_HPE_0044,0.0077,0.0071,0.0006,0.0511,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P99,,,,,OILPS_IOGP_SPI_0185,0.0085,0.0073,0.0012,0.0568,False,False,REJECTED,Insufficient evidence,"[""Working at Height"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
