source_record_id,max_score,second_score,score_margin,predicted_label_count,predicted_labels,confidence,decision,provenance,lsr_prob_bypassing_safety_controls,lsr_prob_confined_space,lsr_prob_driving,lsr_prob_energy_isolation,lsr_prob_hot_work,lsr_prob_line_of_fire,lsr_prob_safe_mechanical_lifting,lsr_prob_work_authorization,lsr_prob_working_at_height
20181010596,0.0114,0.0017,0.0097,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0001,0.0,0.0114,0.0001,0.0006,0.0017,0.0001,0.0
20181010615,0.8409,0.0238,0.8171,1,Driving,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0001,0.0001,0.8409,0.0001,0.0001,0.001,0.0023,0.0005,0.0238
20181010628,0.0011,0.0008,0.0003,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0003,0.0002,0.0002,0.0011,0.0,0.0003,0.0008,0.0007
20181010657,0.9983,0.1732,0.8251,1,Driving,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0062,0.0021,0.9983,0.0027,0.0008,0.0278,0.001,0.0009,0.1732
20181010659,0.458,0.0369,0.4211,1,Energy Isolation,MEDIUM,SENT_TO_HUMAN_REVIEW,UNKNOWN,0.0011,0.0057,0.0003,0.458,0.0035,0.0001,0.0014,0.0139,0.0369
20181010670,0.9986,0.0214,0.9772,1,Hot Work,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0,0.0214,0.0002,0.0001,0.9986,0.0004,0.0057,0.0156,0.0001
20181010687,0.917,0.0039,0.9131,1,Line of Fire,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0025,0.0002,0.0008,0.0039,0.0012,0.917,0.0023,0.0,0.0002
20181010695,0.0008,0.0002,0.0006,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0001,0.0008,0.0002,0.0002,0.0001,0.0,0.0002
20181010735,0.0065,0.0045,0.002,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0005,0.0,0.0065,0.0045,0.001,0.0002,0.0002,0.0
20181010741,0.9987,0.041,0.9577,1,Safe Mechanical Lifting,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0001,0.0,0.0068,0.0009,0.0014,0.0328,0.9987,0.0003,0.041
20181010783,0.8141,0.0038,0.8103,1,Driving,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0005,0.0007,0.8141,0.0003,0.0001,0.0038,0.0,0.0002,0.0006
20181010823,0.9906,0.0364,0.9542,1,Working at Height,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0019,0.0122,0.0249,0.0364,0.0043,0.0075,0.0014,0.0097,0.9906
20181010828,0.7879,0.1596,0.6283,1,Safe Mechanical Lifting,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0004,0.0002,0.0027,0.0217,0.0069,0.1596,0.7879,0.0002,0.0017
