rule,threshold,support,precision,recall,f1_score,tp,fp,fn,tn
Bypassing Safety Controls,0.35,0,0.0,0.0,0.0,0,0,0,138
Confined Space,0.35,2,1.0,0.5,0.6666666666666666,1,0,1,136
Driving,0.35,15,0.8,0.8,0.8,12,3,3,120
Energy Isolation,0.27,16,0.7692307692307693,0.625,0.6896551724137931,10,3,6,119
Hot Work,0.23,13,0.8,0.9230769230769231,0.8571428571428571,12,3,1,122
Line of Fire,0.15,5,0.0,0.0,0.0,0,4,5,129
Safe Mechanical Lifting,0.81,14,0.875,0.5,0.6363636363636364,7,1,7,123
Toxic Gas / Hazardous Substance,0.35,2,0.5,0.5,0.5,1,1,1,135
Working at Height,0.69,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,3,3,126
