rule,threshold,support,precision,recall,f1_score
Bypassing Safety Controls,0.5,0,0.0,0.0,0.0
Confined Space,0.5,2,0.5,0.5,0.5
Driving,0.25,15,0.9285714285714286,0.8666666666666667,0.896551724137931
Energy Isolation,0.3,16,0.5882352941176471,0.625,0.6060606060606061
Hot Work,0.44999999999999996,13,0.9166666666666666,0.8461538461538461,0.88
Line of Fire,0.2,5,0.25,0.2,0.2222222222222222
Safe Mechanical Lifting,0.2,14,0.8181818181818182,0.6428571428571429,0.72
Toxic Gas / Hazardous Substance,0.5,2,0.6666666666666666,1.0,0.8
Working at Height,0.25,9,0.5,0.6666666666666666,0.5714285714285714
